gktchid,n_persons,n_male,n_female,heterogeneity_male_female
17632903.0,14,8,6,0.14285714285714285
17632904.0,23,11,12,-0.043478260869565216
18034401.0,25,13,12,0.04
18034402.0,24,16,8,0.3333333333333333
18034403.0,27,13,14,-0.037037037037037035
18034404.0,16,4,12,-0.5
18034405.0,16,6,10,-0.25
18937801.0,19,7,12,-0.2631578947368421
18937802.0,15,7,8,-0.06666666666666667
18937803.0,20,14,6,0.4
18937804.0,15,4,11,-0.4666666666666667
18938201.0,14,9,5,0.2857142857142857
18938202.0,23,10,13,-0.13043478260869565
18938203.0,24,14,10,0.16666666666666666
18938204.0,13,8,5,0.23076923076923078
18939601.0,17,10,7,0.17647058823529413
18939602.0,24,13,11,0.08333333333333333
18939603.0,25,13,12,0.04
19141101.0,13,4,9,-0.38461538461538464
19141102.0,19,12,7,0.2631578947368421
19141103.0,17,8,9,-0.058823529411764705
19342201.0,20,7,13,-0.3
19342202.0,16,11,5,0.375
19342203.0,22,14,8,0.2727272727272727
19342301.0,17,7,10,-0.17647058823529413
19342302.0,16,6,10,-0.25
19342303.0,22,6,16,-0.45454545454545453
19342304.0,24,15,9,0.25
20144901.0,14,6,8,-0.14285714285714285
20144902.0,22,13,9,0.18181818181818182
20144903.0,22,10,12,-0.09090909090909091
20144904.0,21,11,10,0.047619047619047616
20144905.0,21,15,6,0.42857142857142855
20144906.0,15,5,10,-0.3333333333333333
20345201.0,17,9,8,0.058823529411764705
20345202.0,21,8,13,-0.23809523809523808
20345203.0,16,7,9,-0.125
20345204.0,23,16,7,0.391304347826087
20345205.0,19,9,10,-0.05263157894736842
20345701.0,16,5,11,-0.375
20345702.0,19,11,8,0.15789473684210525
20345703.0,12,4,8,-0.3333333333333333
20548801.0,23,14,9,0.21739130434782608
20548802.0,24,15,9,0.25
20548803.0,17,8,9,-0.058823529411764705
20548901.0,17,13,4,0.5294117647058824
20548902.0,23,12,11,0.043478260869565216
20548903.0,24,15,9,0.25
20548904.0,16,7,9,-0.125
20549001.0,15,9,6,0.2
20549002.0,24,19,5,0.5833333333333334
20549003.0,24,17,7,0.4166666666666667
20549101.0,14,10,4,0.42857142857142855
20549102.0,15,9,6,0.2
20549103.0,22,10,12,-0.09090909090909091
20549104.0,23,10,13,-0.13043478260869565
20549201.0,23,14,9,0.21739130434782608
20549202.0,16,5,11,-0.375
20549203.0,23,12,11,0.043478260869565216
20549204.0,17,8,9,-0.058823529411764705
20850101.0,22,13,9,0.18181818181818182
20850102.0,22,15,7,0.36363636363636365
20850103.0,14,6,8,-0.14285714285714285
20850104.0,15,10,5,0.3333333333333333
20850301.0,24,16,8,0.3333333333333333
20850302.0,14,6,8,-0.14285714285714285
20850303.0,23,9,14,-0.21739130434782608
20951001.0,21,11,10,0.047619047619047616
20951002.0,24,12,12,0.0
20951003.0,22,14,8,0.2727272727272727
20951004.0,14,11,3,0.5714285714285714
20951005.0,14,8,6,0.14285714285714285
21252201.0,21,8,13,-0.23809523809523808
21252202.0,23,10,13,-0.13043478260869565
21252203.0,12,7,5,0.16666666666666666
21252204.0,13,8,5,0.23076923076923078
21252205.0,22,9,13,-0.18181818181818182
21553301.0,24,12,12,0.0
21553302.0,24,14,10,0.16666666666666666
21553303.0,14,10,4,0.42857142857142855
21553304.0,23,13,10,0.13043478260869565
21553305.0,17,11,6,0.29411764705882354
21553306.0,23,11,12,-0.043478260869565216
21653601.0,24,11,13,-0.08333333333333333
21653602.0,23,12,11,0.043478260869565216
21653603.0,17,12,5,0.4117647058823529
21653604.0,17,7,10,-0.17647058823529413
21653605.0,22,14,8,0.2727272727272727
21856201.0,14,9,5,0.2857142857142857
21856202.0,17,8,9,-0.058823529411764705
21856203.0,13,6,7,-0.07692307692307693
21856204.0,17,8,9,-0.058823529411764705
22157101.0,21,13,8,0.23809523809523808
22157102.0,15,6,9,-0.2
22157103.0,23,11,12,-0.043478260869565216
22157104.0,16,7,9,-0.125
22157105.0,23,16,7,0.391304347826087
22157401.0,13,9,4,0.38461538461538464
22157402.0,20,10,10,0.0
22157403.0,12,7,5,0.16666666666666666
22157404.0,19,14,5,0.47368421052631576
22558501.0,23,16,7,0.391304347826087
22558502.0,13,10,3,0.5384615384615384
22558503.0,22,12,10,0.09090909090909091
22558504.0,21,8,13,-0.23809523809523808
22860601.0,25,12,13,-0.04
22860602.0,24,12,12,0.0
22860603.0,16,10,6,0.25
22860604.0,16,6,10,-0.25
23061201.0,22,13,9,0.18181818181818182
23061202.0,16,7,9,-0.125
23061203.0,23,11,12,-0.043478260869565216
23161601.0,23,13,10,0.13043478260869565
23161602.0,14,6,8,-0.14285714285714285
23161603.0,21,11,10,0.047619047619047616
23462801.0,15,9,6,0.2
23462802.0,24,10,14,-0.16666666666666666
23462803.0,23,12,11,0.043478260869565216
23462804.0,16,6,10,-0.25
23462805.0,22,11,11,0.0
24469701.0,26,14,12,0.07692307692307693
24469702.0,16,8,8,0.0
24469703.0,27,12,15,-0.1111111111111111
24469704.0,27,13,14,-0.037037037037037035
24469705.0,15,6,9,-0.2
24470801.0,16,9,7,0.125
24470802.0,16,8,8,0.0
24470803.0,22,10,12,-0.09090909090909091
24470804.0,21,12,9,0.14285714285714285
24470805.0,24,11,13,-0.08333333333333333
24470806.0,22,11,11,0.0
24472301.0,25,13,12,0.04
24472302.0,17,9,8,0.058823529411764705
24472303.0,17,6,11,-0.29411764705882354
24472304.0,26,17,9,0.3076923076923077
24472305.0,26,17,9,0.3076923076923077
24472701.0,17,6,11,-0.29411764705882354
24472702.0,21,10,11,-0.047619047619047616
24472703.0,21,11,10,0.047619047619047616
24472704.0,21,8,13,-0.23809523809523808
24472801.0,17,11,6,0.29411764705882354
24472802.0,20,10,10,0.0
24472803.0,17,3,14,-0.6470588235294118
24473601.0,19,6,13,-0.3684210526315789
24473602.0,21,12,9,0.14285714285714285
24473603.0,15,10,5,0.3333333333333333
24474501.0,27,18,9,0.3333333333333333
24474502.0,15,7,8,-0.06666666666666667
24474503.0,23,12,11,0.043478260869565216
24474504.0,28,12,16,-0.14285714285714285
24474601.0,19,14,5,0.47368421052631576
24474602.0,21,10,11,-0.047619047619047616
24474603.0,16,6,10,-0.25
24475501.0,22,7,15,-0.36363636363636365
24475502.0,20,8,12,-0.2
24475503.0,16,10,6,0.25
24475504.0,20,14,6,0.4
24475505.0,22,10,12,-0.09090909090909091
24475506.0,22,10,12,-0.09090909090909091
24475507.0,15,6,9,-0.2
24476401.0,21,10,11,-0.047619047619047616
24476402.0,13,7,6,0.07692307692307693
24477401.0,22,12,10,0.09090909090909091
24477402.0,16,7,9,-0.125
24477403.0,26,16,10,0.23076923076923078
24477404.0,17,6,11,-0.29411764705882354
24477405.0,26,19,7,0.46153846153846156
24477601.0,15,11,4,0.4666666666666667
24477602.0,15,6,9,-0.2
24477603.0,22,14,8,0.2727272727272727
24477604.0,24,10,14,-0.16666666666666666
24477605.0,15,4,11,-0.4666666666666667
24477606.0,23,13,10,0.13043478260869565
24477607.0,23,12,11,0.043478260869565216
24477608.0,17,8,9,-0.058823529411764705
24478001.0,23,9,14,-0.21739130434782608
24478002.0,23,11,12,-0.043478260869565216
24478003.0,17,10,7,0.17647058823529413
24479601.0,13,7,6,0.07692307692307693
24479602.0,19,10,9,0.05263157894736842
24479603.0,12,5,7,-0.16666666666666666
24479604.0,15,5,10,-0.3333333333333333
24479901.0,18,8,10,-0.1111111111111111
24479902.0,14,3,11,-0.5714285714285714
24479903.0,14,5,9,-0.2857142857142857
24479904.0,21,8,13,-0.23809523809523808
24480101.0,24,12,12,0.0
24480102.0,15,8,7,0.06666666666666667
24480103.0,24,13,11,0.08333333333333333
24480104.0,16,8,8,0.0
24480601.0,14,8,6,0.14285714285714285
24480602.0,25,11,14,-0.12
24480603.0,26,12,14,-0.07692307692307693
24480604.0,27,13,14,-0.037037037037037035
24480605.0,25,11,14,-0.12
24480606.0,25,6,19,-0.52
24480607.0,14,5,9,-0.2857142857142857
24481801.0,24,14,10,0.16666666666666666
24481802.0,16,8,8,0.0
24481803.0,22,9,13,-0.18181818181818182
24481804.0,25,14,11,0.12
24483101.0,17,10,7,0.17647058823529413
24483102.0,22,9,13,-0.18181818181818182
24483103.0,27,13,14,-0.037037037037037035
24483901.0,21,10,11,-0.047619047619047616
24483902.0,23,12,11,0.043478260869565216
24483903.0,23,7,16,-0.391304347826087
24483904.0,16,7,9,-0.125
24483905.0,15,10,5,0.3333333333333333
25288501.0,14,8,6,0.14285714285714285
25288502.0,20,9,11,-0.1
25288503.0,20,12,8,0.2
25288504.0,20,12,8,0.2
25388801.0,18,13,5,0.4444444444444444
25388802.0,17,9,8,0.058823529411764705
25388803.0,13,8,5,0.23076923076923078
25789901.0,25,10,15,-0.2
25789902.0,17,10,7,0.17647058823529413
25789903.0,16,4,12,-0.5
25789904.0,24,11,13,-0.08333333333333333
25789905.0,23,12,11,0.043478260869565216
25790501.0,13,5,8,-0.23076923076923078
25790502.0,12,8,4,0.3333333333333333
25790503.0,13,9,4,0.38461538461538464
25790504.0,21,12,9,0.14285714285714285
25790505.0,21,11,10,0.047619047619047616
25790506.0,22,11,11,0.0
25790507.0,21,11,10,0.047619047619047616
25991501.0,14,6,8,-0.14285714285714285
25991502.0,26,11,15,-0.15384615384615385
25991503.0,24,14,10,0.16666666666666666
26192701.0,22,13,9,0.18181818181818182
26192702.0,24,10,14,-0.16666666666666666
26192703.0,16,8,8,0.0
26192704.0,23,11,12,-0.043478260869565216
26293701.0,22,8,14,-0.2727272727272727
26293702.0,19,9,10,-0.05263157894736842
26293703.0,14,8,6,0.14285714285714285
26293704.0,13,10,3,0.5384615384615384
26494501.0,22,14,8,0.2727272727272727
26494502.0,24,11,13,-0.08333333333333333
26494503.0,23,15,8,0.30434782608695654
26494504.0,15,10,5,0.3333333333333333
26494505.0,15,7,8,-0.06666666666666667
